index,item_ID,category2,text,material_tags,material_primary,pattern_tags,pattern_primary,neckline_tags,neckline_primary,sleeve_tags,sleeve_primary,review_status,error_type,notes
34,WOMEN-Skirts-id_00005944-03_1_front,skirts,This person is wearing a tank tank shirt with solid color patterns. The tank shirt is with cotton fabric. This person wears a three-point skirt. The skirt is with cotton fabric and graphic patterns. This lady is wearing a ring on her finger. There is an accessory on her wrist.,cotton,cotton,graphic,graphic,,unknown,,unknown,,,
35,MEN-Sweaters-id_00000702-07_3_back,sweaters,This person is wearing a long-sleeve shirt with pure color patterns. The shirt is with cotton fabric.,cotton,cotton,solid,solid,,unknown,long_sleeve,long_sleeve,,,
36,WOMEN-Jackets_Coats-id_00000264-02_7_additional,jackets,This woman wears a long-sleeve sweater with solid color patterns and a three-point pants. The sweater is with cotton fabric and its neckline is round. The pants are with cotton fabric and solid color patterns. The outer clothing the lady wears is with cotton fabric and solid color patterns. There is an accessory on her wrist. There is a ring on her finger.,cotton; cotton,cotton,solid; solid,solid,,unknown,long_sleeve,long_sleeve,,,
37,WOMEN-Cardigans-id_00000613-03_4_full,cardigans,"The upper clothing has long sleeves, cotton fabric and solid color patterns. It has a round neckline. The lower clothing is of long length. The fabric is denim and it has pure color patterns. The outer clothing the person wears is with cotton fabric and graphic patterns. This person wears a hat. This female is wearing a ring on her finger.",cotton; cotton; denim,cotton,graphic; solid; solid,graphic,round,round,long_sleeve,long_sleeve,,,
38,MEN-Tees_Tanks-id_00007319-03_3_back,tees,"The upper clothing has long sleeves, cotton fabric and solid color patterns.",cotton,cotton,solid,solid,,unknown,long_sleeve,long_sleeve,,,
39,WOMEN-Tees_Tanks-id_00006809-07_2_side,tees,"Her sweater has long sleeves, cotton fabric and striped patterns. The neckline of it is crew. There is an accessory on her wrist. The person is wearing a ring on her finger.",cotton,cotton,stripe,stripe,crew,crew,long_sleeve,long_sleeve,,,
40,WOMEN-Blouses_Shirts-id_00007196-05_7_additional,blouses,The tank shirt the person wears has sleeves cut off and its fabric is chiffon. The pattern of it is solid color. The female is wearing a ring on her finger. There is an accessory in his her neck. This person has a hat in her head. There is an accessory on her wrist.,chiffon,chiffon,solid,solid,,unknown,sleeveless,sleeveless,,,
41,WOMEN-Sweaters-id_00006483-03_7_additional,sweaters,"The shirt this female wears has long sleeves and it is with cotton fabric and color block patterns. The neckline of the shirt is lapel. This female wears a three-point shorts, with chiffon fabric and graphic patterns. The person is wearing leggings.",cotton,cotton,color_block,color_block,collared,collared,long_sleeve,long_sleeve,,,
42,WOMEN-Graphic_Tees-id_00000504-01_3_back,graphic,The tank top this woman wears has sleeves cut off and its fabric is cotton. The pattern of it is solid color. There is a ring on her finger. There is an accessory on her wrist.,cotton,cotton,solid,solid,,unknown,sleeveless,sleeveless,,,
43,WOMEN-Sweaters-id_00002124-01_2_side,sweaters,"Her sweater has long sleeves, furry fabric and pure color patterns. The neckline of it is crew. This female wears a ring.",,unknown,solid,solid,crew,crew,long_sleeve,long_sleeve,,,
44,WOMEN-Blouses_Shirts-id_00006331-02_1_front,blouses,"Her sweater has long sleeves, cotton fabric and pure color patterns. The neckline of it is round. The shorts this lady wears is of three-point length. The shorts are with denim fabric and pure color patterns. The outer clothing is with cotton fabric and graphic patterns. There is an accessory on her wrist. This female is wearing a ring on her finger. The lady has neckwear.",cotton; cotton,cotton,graphic; solid,graphic,,unknown,long_sleeve,long_sleeve,,,
45,WOMEN-Sweaters-id_00006941-01_1_front,sweaters,This female is wearing a long-sleeve sweater with graphic patterns. The sweater is with knitting fabric and its neckline is stand. This woman is wearing a ring on her finger.,,unknown,graphic,graphic,,unknown,long_sleeve,long_sleeve,,,
46,WOMEN-Tees_Tanks-id_00007697-03_7_additional,tees,"The upper clothing has long sleeves, cotton fabric and pure color patterns. There is a hat in her head. There is a ring on her finger.",cotton,cotton,solid,solid,,unknown,long_sleeve,long_sleeve,,,
47,WOMEN-Jackets_Coats-id_00001561-02_7_additional,jackets,This female wears a sleeveless tank shirt with pure color patterns and long pants. The tank shirt is with cotton fabric and it has a round neckline. The pants are with denim fabric and solid color patterns. The outer clothing this lady wears is with cotton fabric and pure color patterns. There is an accessory on her wrist. There is a ring on her finger. There is an accessory in his her neck.,cotton; cotton,cotton,solid; solid,solid,round,round,sleeveless,sleeveless,,,
48,WOMEN-Shorts-id_00002155-02_1_front,shorts,This woman is wearing a sleeveless tank top with graphic patterns. The tank top is with cotton fabric. The shorts this woman wears is of three-point length. The shorts are with cotton fabric and solid color patterns. There is a ring on her finger. This woman is wearing a belt. The female has neckwear. There is an accessory on her wrist.,cotton,cotton,solid,solid,,unknown,,unknown,,,
49,WOMEN-Sweaters-id_00007428-01_4_full,sweaters,"Her shirt has long sleeves, knitting fabric and graphic patterns. It has a crew neckline. This lady wears a three-point pants. The pants are with denim fabric and solid color patterns. The female wears a ring. There is clothing on her waist. There is an accessory on her wrist. The female has neckwear. This person is wearing a pair of socks.",,unknown,graphic,graphic,crew,crew,long_sleeve,long_sleeve,,,
50,WOMEN-Tees_Tanks-id_00007558-09_3_back,tees,"The shirt this person wears has long sleeves and it is with cotton fabric and graphic patterns. This person wears a three-point pants, with denim fabric and pure color patterns. The female has neckwear.",cotton,cotton,graphic,graphic,,unknown,long_sleeve,long_sleeve,,,
51,WOMEN-Tees_Tanks-id_00005805-01_1_front,tees,This woman is wearing a short-sleeve T-shirt with striped patterns. The T-shirt is with cotton fabric and its neckline is crew. This lady has a hat in her head. The person wears a ring.,cotton,cotton,stripe,stripe,crew,crew,short_sleeve,short_sleeve,,,
52,MEN-Pants-id_00001510-05_1_front,pants,"His sweater has long sleeves, cotton fabric and pure color patterns. It has a crew neckline. This person wears a long trousers. The trousers are with cotton fabric and solid color patterns. This guy also wears an outer clothing, with denim fabric and pure color patterns. There is an accessory on his wrist.",cotton; denim,cotton,solid; solid,solid,,unknown,,unknown,,,
53,WOMEN-Sweaters-id_00006737-02_7_additional,sweaters,This female wears a long-sleeve shirt with pure color patterns and a three-point pants. The shirt is with cotton fabric. The pants are with denim fabric and pure color patterns. This person has neckwear. This lady wears a ring.,cotton,cotton,solid,solid,,unknown,long_sleeve,long_sleeve,,,
54,WOMEN-Tees_Tanks-id_00000020-04_3_back,tees,"The upper clothing has short sleeves, cotton fabric and stripe patterns.",cotton,cotton,stripe,stripe,,unknown,short_sleeve,short_sleeve,,,
55,WOMEN-Jackets_Coats-id_00007577-01_2_side,jackets,"The sweater this lady wears has long sleeves, its fabric is cotton, and it has color block patterns. This person wears a ring.",cotton,cotton,color_block,color_block,,unknown,long_sleeve,long_sleeve,,,
56,WOMEN-Sweaters-id_00007112-01_3_back,sweaters,"The shirt this lady wears has long sleeves, its fabric is knitting, and it has solid color patterns. This person wears a ring.",,unknown,solid,solid,,unknown,long_sleeve,long_sleeve,,,
57,WOMEN-Sweatshirts_Hoodies-id_00004442-01_3_back,sweatshirts,"Her sweater has long sleeves, cotton fabric and pure color patterns. There is an accessory on her wrist. This woman wears a ring.",cotton,cotton,solid,solid,,unknown,long_sleeve,long_sleeve,,,
58,WOMEN-Sweatshirts_Hoodies-id_00004673-04_2_side,sweatshirts,"The upper clothing has long sleeves, cotton fabric and pure color patterns. There is a ring on her finger.",cotton,cotton,solid,solid,,unknown,long_sleeve,long_sleeve,,,
59,WOMEN-Blouses_Shirts-id_00003016-01_2_side,blouses,"The tank top this female wears has sleeves cut off and it is with denim fabric and solid color patterns. The neckline of the tank top is suspenders. This female wears a three-point pants, with cotton fabric and solid color patterns. This female wears a ring. There is an accessory on her wrist.",denim,denim,solid,solid,,unknown,sleeveless,sleeveless,,,
60,WOMEN-Rompers_Jumpsuits-id_00002761-06_2_side,rompers,"The shirt this person wears has short sleeves and its fabric is cotton. The pattern of it is striped. It has a round neckline. This person wears a three-point shorts, with cotton fabric and striped patterns. There is an accessory on her wrist.",,unknown,stripe,stripe,round,round,,unknown,,,
61,WOMEN-Tees_Tanks-id_00006093-05_7_additional,tees,This lady is wearing a tank tank top with pure color patterns and a three-point pants. The tank top is with cotton fabric. The pants are with denim fabric and solid color patterns. The person has neckwear.,cotton,cotton,solid,solid,,unknown,sleeveless,sleeveless,,,
62,MEN-Shorts-id_00004527-08_1_front,shorts,This guy is wearing a sleeveless tank top with pure color patterns. The tank top is with cotton fabric. It has a crew neckline. The shorts this guy wears is of three-point length. The shorts are with cotton fabric and pure color patterns. This gentleman wears sunglasses.,cotton,cotton,solid,solid,,unknown,,unknown,,,
63,WOMEN-Graphic_Tees-id_00000253-01_3_back,graphic,"Her shirt has short sleeves, cotton fabric and striped patterns.",cotton,cotton,stripe,stripe,,unknown,short_sleeve,short_sleeve,,,
64,WOMEN-Tees_Tanks-id_00002220-06_7_additional,tees,"Her sweater has long sleeves, cotton fabric and solid color patterns. The trousers this person wears is of long length. The trousers are with denim fabric and pure color patterns. The female is wearing a ring on her finger. There is clothing on her waist.",cotton,cotton,solid,solid,,unknown,long_sleeve,long_sleeve,,,
65,MEN-Tees_Tanks-id_00003470-06_4_full,tees,This gentleman wears a sleeveless tank shirt with other patterns and a long pants. The tank shirt is with cotton fabric. The neckline of the tank shirt is crew. The pants are with denim fabric and pure color patterns. There is an accessory on his wrist. The person is wearing a belt.,cotton,cotton,,unknown,crew,crew,sleeveless,sleeveless,,,
66,WOMEN-Tees_Tanks-id_00000020-05_3_back,tees,"Her shirt has short sleeves, cotton fabric and striped patterns.",cotton,cotton,stripe,stripe,,unknown,short_sleeve,short_sleeve,,,
67,WOMEN-Cardigans-id_00000895-02_3_back,cardigans,"The upper clothing has long sleeves, other fabric and other patterns. The outer clothing the person wears is with knitting fabric and solid color patterns.",,unknown,solid,solid,,unknown,long_sleeve,long_sleeve,,,
68,WOMEN-Shorts-id_00001913-04_4_full,shorts,The lady is wearing a sleeveless tank top with pure color patterns. The tank top is with cotton fabric. It has a stand neckline. The pants the lady wears is of three-point length. The pants are with cotton fabric and floral patterns. The outer clothing the lady wears is with denim fabric and pure color patterns. This woman is wearing a pair of socks. There is an accessory on her wrist. There is a ring on her finger.,cotton; denim,cotton,floral; solid,floral,,unknown,,unknown,,,
69,WOMEN-Dresses-id_00006168-08_3_back,dresses,"Her tank shirt has no sleeves, cotton fabric and color block patterns. The shorts the lady wears is of three-point length. The shorts are with cotton fabric and pure color patterns. This person wears a hat. There is an accessory on her wrist. The person is wearing a ring on her finger. This woman wears leggings.",,unknown,,unknown,,unknown,,unknown,,,
70,WOMEN-Shorts-id_00005498-05_4_full,shorts,This person wears a tank tank shirt with pure color patterns and three-point shorts. The tank shirt is with cotton fabric and it has a crew neckline. The shorts are with denim fabric and pure color patterns. The lady is wearing a pair of socks.,denim,denim,solid,solid,,unknown,,unknown,,,
71,WOMEN-Blouses_Shirts-id_00000970-02_1_front,blouses,This lady is wearing a long-sleeve shirt with lattice patterns. The shirt is with cotton fabric. The neckline of the shirt is lapel. This person has neckwear. The female is wearing a ring on her finger.,cotton,cotton,,unknown,collared,collared,long_sleeve,long_sleeve,,,
72,WOMEN-Cardigans-id_00002121-28_1_front,cardigans,"The upper clothing has long sleeves, cotton fabric and pure color patterns. It has a crew neckline. This woman also wears an outer clothing, with cotton fabric and pure color patterns.",cotton; cotton,cotton,solid; solid,solid,crew,crew,long_sleeve,long_sleeve,,,
73,WOMEN-Blouses_Shirts-id_00003014-02_1_front,blouses,"Her tank top has sleeves cut off, cotton fabric and graphic patterns. It has a round neckline.",cotton,cotton,graphic,graphic,round,round,sleeveless,sleeveless,,,
74,MEN-Sweaters-id_00005876-01_7_additional,sweaters,The shirt this guy wears has long sleeves and its fabric is cotton. The pattern of it is solid color. It has a lapel neckline. There is a ring on his finger. There is an accessory on his wrist.,cotton,cotton,solid,solid,collared,collared,long_sleeve,long_sleeve,,,
75,WOMEN-Rompers_Jumpsuits-id_00001736-01_7_additional,rompers,"The tank top this person wears has sleeves cut off and its fabric is cotton. The pattern of it is graphic. It has a suspenders neckline. This person wears a long pants, with cotton fabric and graphic patterns. There is a ring on her finger. There is an accessory on her wrist. There is an accessory in his her neck.",,unknown,graphic,graphic,,unknown,,unknown,,,
76,MEN-Tees_Tanks-id_00007209-01_1_front,tees,This person wears a short-sleeve shirt with pure color patterns. The shirt is with cotton fabric. It has a round neckline.,cotton,cotton,solid,solid,round,round,short_sleeve,short_sleeve,,,
77,WOMEN-Rompers_Jumpsuits-id_00003395-02_2_side,rompers,"The tank shirt this lady wears has sleeves cut off and it is with cotton fabric and solid color patterns. The neckline of the tank shirt is suspenders. This lady wears a three-point shorts, with cotton fabric and pure color patterns. There is an accessory on her wrist. There is a ring on her finger. There is an accessory in his her neck.",,unknown,,unknown,,unknown,,unknown,,,
78,WOMEN-Cardigans-id_00000664-04_3_back,cardigans,"The upper clothing has long sleeves, other fabric and other patterns. The outer clothing this woman wears is with cotton fabric and pure color patterns. This lady wears a ring.",cotton,cotton,solid,solid,,unknown,long_sleeve,long_sleeve,,,
79,WOMEN-Shorts-id_00005829-08_4_full,shorts,"Her tank shirt has sleeves cut off, knitting fabric and solid color patterns. The neckline of it is suspenders. The pants this female wears is of three-point length. The pants are with cotton fabric and solid color patterns. There is an accessory on her wrist. The person has neckwear. The lady wears a ring.",cotton,cotton,solid,solid,,unknown,,unknown,,,
80,WOMEN-Dresses-id_00003397-02_3_back,dresses,This female wears a short-sleeve T-shirt with graphic patterns. The T-shirt is with cotton fabric. This female wears a three-quarter trousers. The trousers are with cotton fabric and graphic patterns. This lady wears a ring.,,unknown,,unknown,,unknown,,unknown,,,
81,WOMEN-Tees_Tanks-id_00005864-02_1_front,tees,"The upper clothing has no sleeves, cotton fabric and graphic patterns. The lower clothing is of three-point length. The fabric is denim and it has solid color patterns.",cotton; denim,cotton,graphic; solid,graphic,,unknown,,unknown,,,
82,WOMEN-Dresses-id_00007335-02_1_front,dresses,"Her tank top has no sleeves, cotton fabric and graphic patterns. The neckline of it is suspenders. This female wears a three-point shorts. The shorts are with cotton fabric and graphic patterns. There is an accessory on her wrist. The person wears a ring. The person has neckwear.",,unknown,,unknown,,unknown,,unknown,,,
83,WOMEN-Sweatshirts_Hoodies-id_00003318-03_1_front,sweatshirts,"Her shirt has long sleeves, cotton fabric and stripe patterns. It has a v-shape neckline. The trousers this female wears is of long length. The trousers are with denim fabric and pure color patterns. This woman is wearing a ring on her finger.",cotton,cotton,stripe,stripe,v_neck,v_neck,long_sleeve,long_sleeve,,,
84,WOMEN-Cardigans-id_00001765-02_3_back,cardigans,"Her sweater has long sleeves, knitting fabric and striped patterns. The shorts this lady wears is of three-point length. The shorts are with knitting fabric and striped patterns.",,unknown,stripe,stripe,,unknown,long_sleeve,long_sleeve,,,
85,WOMEN-Sweaters-id_00006441-04_7_additional,sweaters,"The upper clothing has long sleeves, knitting fabric and other patterns. This person wears a hat. There is an accessory on her wrist. The person has neckwear. There is a ring on her finger.",,unknown,,unknown,,unknown,long_sleeve,long_sleeve,,,
86,MEN-Pants-id_00000836-02_4_full,pants,"His sweater has long sleeves, cotton fabric and striped patterns. The neckline of it is round. The trousers this guy wears is of long length. The trousers are with cotton fabric and solid color patterns. The outer clothing this gentleman wears is with cotton fabric and solid color patterns. There is an accessory on his wrist.",cotton; cotton,cotton,solid; solid,solid,,unknown,,unknown,,,
87,WOMEN-Sweatshirts_Hoodies-id_00003318-07_1_front,sweatshirts,"Her sweater has long sleeves, cotton fabric and striped patterns. The neckline of it is v-shape. The pants this female wears is of long length. The pants are with denim fabric and solid color patterns. This lady is wearing a ring on her finger. There is a belt on her waist.",cotton,cotton,stripe,stripe,v_neck,v_neck,long_sleeve,long_sleeve,,,
88,WOMEN-Sweaters-id_00003373-02_3_back,sweaters,This person is wearing a long-sleeve shirt with graphic patterns. The shirt is with knitting fabric. The lady is wearing a ring on her finger.,,unknown,graphic,graphic,,unknown,long_sleeve,long_sleeve,,,
89,MEN-Tees_Tanks-id_00005207-01_1_front,tees,"The T-shirt the guy wears has short sleeves, its fabric is cotton, and it has pure color patterns. The T-shirt has a crew neckline.",cotton,cotton,solid,solid,crew,crew,short_sleeve,short_sleeve,,,
90,WOMEN-Dresses-id_00007454-02_2_side,dresses,The T-shirt this person wears has short sleeves and it is with cotton fabric and striped patterns.,,unknown,,unknown,,unknown,,unknown,,,
91,WOMEN-Tees_Tanks-id_00006043-49_7_additional,tees,This lady is wearing a sleeveless tank shirt with pure color patterns. The tank shirt is with cotton fabric. It has a suspenders neckline. The shorts this lady wears is of three-point length. The shorts are with denim fabric and solid color patterns. The person is wearing a ring on her finger.,cotton,cotton,solid,solid,,unknown,sleeveless,sleeveless,,,
92,WOMEN-Tees_Tanks-id_00003710-02_1_front,tees,This woman wears a tank tank top with stripe patterns. The tank top is with cotton fabric. The neckline of the tank top is round.,cotton,cotton,stripe,stripe,,unknown,sleeveless,sleeveless,,,
93,MEN-Shirts_Polos-id_00004118-02_7_additional,shirts,"The sweater this person wears has long sleeves and it is with cotton fabric and pure color patterns. The neckline of the sweater is lapel. This person wears a long pants, with cotton fabric and solid color patterns. The person is wearing a hat.",cotton,cotton,solid,solid,collared,collared,long_sleeve,long_sleeve,,,
94,WOMEN-Tees_Tanks-id_00006679-02_3_back,tees,"The tank top the female wears has sleeves cut off, its fabric is cotton, and it has graphic patterns.",cotton,cotton,graphic,graphic,,unknown,sleeveless,sleeveless,,,
95,WOMEN-Sweaters-id_00005901-04_1_front,sweaters,"Her shirt has long sleeves, knitting fabric and graphic patterns. The neckline of it is crew. There is a ring on her finger. There is a hat in her head. There is an accessory on her wrist. There is an accessory in his her neck.",,unknown,graphic,graphic,crew,crew,long_sleeve,long_sleeve,,,
